,element,molar_mass
0,H,1.008
1,He,4.003
2,Li,6.941
3,Be,9.012
4,B,10.81
5,C,12.01
6,N,14.01
7,O,16.0
8,F,19.0
9,Ne,20.18
10,Na,22.99
11,Mg,24.31
12,Al,26.98
13,Si,28.09
14,P,30.97
15,S,32.07
16,Cl,35.45
17,K,39.1
18,Ar,39.95
19,Ca,40.08
20,Sc,44.96
21,Ti,47.87
22,V,50.94
23,Cr,52.0
24,Mn,54.94
25,Fe,55.85
26,Co,58.93
27,Ni,58.69
28,Cu,63.55
29,Zn,65.38
30,Ga,69.72
31,Ge,72.63
32,As,74.92
33,Se,78.96
34,Br,79.9
35,Kr,83.8
36,Rb,85.47
37,Sr,87.62
38,Y,88.91
39,Zr,91.22
40,Nb,92.91
41,Mo,95.94
42,Tc,98.0
43,Ru,101.1
44,Rh,102.9
45,Pd,106.4
46,Ag,107.9
47,Cd,112.4
48,In,114.8
49,Sn,118.7
50,Sb,121.8
51,I,126.9
52,Te,127.6
53,Xe,131.3
54,Cs,132.9
55,Ba,137.3
56,La,138.9
57,Ce,140.1
58,Pr,140.9
59,Nd,144.2
60,Pm,145.0
61,Sm,150.4
62,Eu,152.0
63,Gd,157.3
64,Tb,158.9
65,Dy,162.5
66,Ho,164.9
67,Er,167.3
68,Tm,168.9
69,Yb,173.1
70,Lu,175.0
71,Hf,178.5
72,Ta,180.9
73,W,183.8
74,Re,186.2
75,Os,190.2
76,Ir,192.2
77,Pt,195.1
78,Au,197.0
79,Hg,200.6
80,Tl,204.4
81,Pb,207.2
82,Bi,208.9
83,Th,232.0
84,Pa,231.0
85,U,238.0
86,Np,237.0
87,Pu,244.0
88,Am,243.0
89,Cm,247.0
90,Bk,247.0
91,Cf,251.0
92,Es,252.0
93,Fm,257.0
94,Md,258.0
95,Rf,267.0
